window,test,DQN_Sharpe,DQN_AR,DQN_MDD,Static_0.5_Sharpe,Static_0.5_AR,Static_1.0_Sharpe,Static_1.0_AR,Static_1.25_Sharpe,Static_1.25_AR,Static_2.0_Sharpe,Static_2.0_AR
GFC+recovery,2008-01→2011-12,3.298726715559162,0.8103380684476654,0.06928293736838236,3.2586444063441533,0.6175021043550614,2.9866101793721804,0.6818939225503993,3.0571407624380402,0.7119986664503345,3.44058346203035,1.1265280450751565
Bull market,2012-01→2015-12,2.07742076926829,0.6438056843871638,0.10062419363853466,2.997875830456463,0.32416084484463786,2.921280112612567,0.43801540201234057,2.9570880533004535,0.4999558795488941,2.2247132395482154,0.7694728601055265
Late cycle,2016-01→2019-12,4.256939746836939,0.5422819165081245,0.027996492040303873,3.5175055766109686,0.35630354988082347,3.598703661800733,0.4464610260940464,4.05168798317238,0.5867767831147855,3.3628541187711085,0.7638428846621359
COVID+post,2020-01→2023-12,3.5712585780821486,0.7808821534297626,0.04861029663429766,3.405996931353018,0.659686620634616,4.110777122624961,0.8722122692782143,4.169219348972368,1.0304961468867118,4.196187711859132,1.479503636995147
