window,Static_0.5_Sharpe,Static_1.0_Sharpe,Static_1.25_Sharpe,Static_2.0_Sharpe,Regime_Sharpe,Regime_sit_out,VolScaled_Sharpe,Oracle_Sharpe,BestStatic_Sharpe,BestStatic_gamma
GFC+recovery,3.2586444063441533,2.9866101793721804,3.0571407624380402,3.44058346203035,1.6799432144932869,28,2.5490920222233147,4.203035283601081,2.9866101793721804,1.0
Bull market,2.997875830456463,2.921280112612567,2.9570880533004535,2.2247132395482154,0.49999999999999994,47,2.62944612221433,3.372044228309477,2.9570880533004535,1.25
Late cycle,3.5175055766109686,3.598703661800733,4.05168798317238,3.3628541187711085,3.8332255779375872,7,3.908741633798531,5.039328696200697,4.05168798317238,1.25
COVID+post,3.405996931353018,4.110777122624961,4.169219348972368,4.196187711859132,4.169219348972368,1,4.320099073338423,5.4212999758743345,4.169219348972368,1.25
