window,Static_0.5_Sharpe,Static_1.0_Sharpe,Static_1.25_Sharpe,Static_2.0_Sharpe,Regime_Sharpe,Regime_sit_out,VolScaled_Sharpe,Oracle_Sharpe,BestStatic_Sharpe,BestStatic_gamma
GFC+recovery,1.8514519068331572,3.3345884238097905,3.069135649216266,2.959081035150649,1.8610163235907948,28,2.6199780120090246,3.9889691606742144,2.959081035150649,2.0
Bull market,1.115017963161489,1.863711517485564,2.3207141364189945,3.049030343518139,0.49999999999999994,47,2.24090858445269,3.6065291588639923,3.049030343518139,2.0
Late cycle,0.8072018217688538,3.2750162789463233,3.6235039006274343,4.76106249411598,3.407575498426479,7,3.4142190243085513,5.405112575660649,4.76106249411598,2.0
COVID+post,2.969072135316611,3.5158033534108015,3.8306532854990305,2.818601121059088,3.8306532854990305,1,1.686163582968912,4.213430194934087,2.818601121059088,2.0
