window,Static_1.0,Static_1.25,Static_2.0,Equal,Sigma,Triple,Momentum
GFC+recovery,3.075392343557809,2.71695028037228,2.5406480108310694,2.7608235878918257,2.740471856848699,2.909016700084202,2.799071253290649
Bull market,3.2084636003706035,3.2497156499822797,2.6255251795869703,3.0042259924448893,3.1034285464719997,3.138645634604202,3.0398368739967085
Late cycle,3.673101931011689,3.4784393026941234,2.617619642967882,3.2660325474655356,3.479342045533053,3.514899294588032,3.2933505777659446
COVID+post,3.7050076258606897,3.7057256778068832,3.9615524675787297,4.287416616398927,4.258526791891547,4.231193642975306,4.2217965541775335
