,kmeans_20,kmeans_30,dbscan_0.1,agglo_0.5,ORCA
2000-02,-0.08155821518772371,-0.04139216753758857,-0.08608264091494436,-0.026179299299727902,0.08077065330875535
2000-03,0.08042612160718557,0.14112440090472922,0.0658282516997494,0.08768724705292692,0.21215933736524414
2000-04,0.3247241688506436,0.3448034006399314,0.3894231009404221,0.27885092249313204,0.4673272064170818
2000-05,0.4516096723776898,0.45382610310370175,0.41671635214032265,0.39359160630918505,0.5345282627249532
2000-06,0.6155513408206974,0.5575342397901528,0.5108891794212483,0.5386861545679212,0.5616778251610222
2000-07,0.7010952968510569,0.6183290887664242,0.5456971419606578,0.6112737916913298,0.5908796808504595
2000-08,0.771894585492244,0.667052410731467,0.527179487658589,0.6907722927334627,0.6251919882885468
2000-09,0.7996091703373415,0.6965156211755642,0.5339520962518234,0.7353609319967749,0.6553986027254997
2000-10,0.9280035014484243,0.8531231400238429,0.6530278156459044,0.863360773201407,0.7741121488526289
2000-11,1.0976090648819856,1.046019588084596,0.7530031106905424,1.0355478928559265,0.921666188155859
2000-12,1.2257192472799794,1.1498088325229947,0.7873916045005027,1.1462866663301483,1.0522571781883312
2001-01,1.3707396195369916,1.3327027150597566,1.1130671009039892,1.2666706684390985,1.2596964445767356
2001-02,1.5314635834489454,1.5147994473028301,1.1872748674206366,1.436855754158416,1.3623174955584045
2001-03,1.5931112693330225,1.5850848780799813,1.3387348353705648,1.5128294504647772,1.4726135623952055
2001-04,1.6940476909215199,1.6767409987584891,1.448611323536825,1.6172091419900485,1.5535538683377021
2001-05,1.7475748650832028,1.7385616560418418,1.472481628492675,1.665364177937602,1.5803406921440406
2001-06,1.8058307253298171,1.762361160634665,1.4919286802140115,1.7029581295093061,1.6045337921579022
2001-07,1.8661926623071705,1.827713160070282,1.571035885703461,1.7313295171995744,1.6603086537552905
2001-08,1.9385019846462777,1.8988850169618379,1.6433282213574474,1.8006932188151157,1.694895216383817
2001-09,2.0367476316274065,2.0097847445205885,1.7410692852375766,1.9124963436833116,1.8153491772128454
2001-10,2.1492529867304673,2.1026865652901785,1.8752687302231599,2.0223442365643933,1.9540486299025515
2001-11,2.313687125212234,2.2196651994147745,2.026868471023486,2.1683405865009475,2.0620759019127513
2001-12,2.3351329264855383,2.253720889244923,2.089196336434761,2.2067720263080983,2.076229409905196
2002-01,2.390054288319723,2.3032000974261524,2.1706831253948486,2.2903445092206933,2.1176104868846846
