window,Static_0.5_Sharpe,Static_1.0_Sharpe,Static_1.25_Sharpe,Static_2.0_Sharpe,Regime_Sharpe,Regime_sit_out,VolScaled_Sharpe,Oracle_Sharpe,BestStatic_Sharpe,BestStatic_gamma
GFC+recovery,2.7848417529944354,3.075392343557809,2.71695028037228,2.5406480108310694,1.4102656759198287,28,3.066682012111784,3.6719501218083956,3.075392343557809,1.0
Bull market,3.0278773916741564,3.2084636003706035,3.2497156499822797,2.6255251795869703,0.49999999999999994,47,2.7719879704666144,3.8635872050094693,3.2084636003706035,1.0
Late cycle,3.931920453010123,3.673101931011689,3.4784393026941234,2.617619642967882,3.3819694919569727,7,3.738439144401353,4.694276224827036,3.673101931011689,1.0
COVID+post,3.385244213393341,3.7050076258606897,3.7057256778068832,3.9615524675787297,3.7057256778068832,1,3.7077119379613728,5.052759005870926,3.7050076258606897,1.0
