window,DQN_OU_Sharpe,DQN_OU_AR,DQN_OU_MDD,sit_out,Static_0.5_Sharpe,Static_1.0_Sharpe,Static_1.25_Sharpe,Static_2.0_Sharpe
GFC+recovery,2.157962598740577,0.6070817871988091,0.07197472328485305,13,2.8275318823742945,2.8287077532906384,2.989984478777417,2.1974272707489866
Bull market,2.213460671720765,0.5595835043775308,0.08026697184103447,6,2.0514072665883063,2.7001380029606055,2.8639743428260984,2.4273517214280687
Late cycle,3.113150270699056,0.45610734391344243,0.017307072382036118,12,3.657805391338609,3.5519780971808976,3.911797372846689,2.9733523179049755
COVID+post,2.8630131643663415,0.892285190338195,0.05937436861362012,11,3.649999481380707,3.322714905299274,3.5226215598842208,2.7400529624059518
