window,test,DQN_Sharpe,DQN_AR,DQN_MDD,Static_0.5_Sharpe,Static_0.5_AR,Static_1.0_Sharpe,Static_1.0_AR,Static_1.25_Sharpe,Static_1.25_AR,Static_2.0_Sharpe,Static_2.0_AR
GFC+recovery,2008-01→2011-12,2.4015704190855094,0.8869140866912486,0.08631121590493958,1.8514519068331572,0.3568623067798039,3.3345884238097905,0.8010092214087132,3.069135649216266,1.0645843985498704,2.959081035150649,1.415176671419041
Bull market,2012-01→2015-12,2.139246525227571,0.5886347124630807,0.11450659995815707,1.115017963161489,0.19858375286466162,1.863711517485564,0.3372334843614278,2.3207141364189945,0.502929181768738,3.049030343518139,0.8560950657597782
Late cycle,2016-01→2019-12,2.4730618711773027,0.5067877168426843,0.06403032360555166,0.8072018217688538,0.12547086037453892,3.2750162789463233,0.47081567134175084,3.6235039006274343,0.631138581119539,4.76106249411598,1.1606061832886598
COVID+post,2020-01→2023-12,2.931688255723045,1.2010345878791873,0.1863534590063387,2.969072135316611,0.45563972668054875,3.5158033534108015,1.0500219569943259,3.8306532854990305,1.3003316140961994,2.818601121059088,1.8364582985473583
