window,Static_0.5_Sharpe,Static_1.0_Sharpe,Static_1.25_Sharpe,Static_2.0_Sharpe,Regime_Sharpe,Regime_sit_out,VolScaled_Sharpe,Oracle_Sharpe,BestStatic_Sharpe,BestStatic_gamma
GFC+recovery,3.2677501180860635,3.1485482690199684,3.113786773371138,2.8201144486052367,1.6114694639469047,28,2.5367962093534993,3.9180772258524197,3.113786773371138,1.25
Bull market,2.5716083466629747,2.821300414439791,3.0022159745822914,2.8973562151507113,0.49999999999999994,47,2.5101168271488077,3.8995144625793703,3.0022159745822914,1.25
Late cycle,4.256200646025612,4.15538883602213,3.6669215978301275,3.747771440643101,3.791736217878056,7,3.8813840978484873,5.542458639511023,3.6669215978301275,1.25
COVID+post,3.452909757663409,3.591677884288706,4.166582470464706,4.382133637954289,4.166582470464706,1,3.9715843472942725,5.5320966803690945,4.166582470464706,1.25
