window,Static_1.0,Static_1.25,Static_2.0,Equal,Sigma,Triple,Momentum
GFC+recovery,3.3345884238097905,3.069135649216266,2.959081035150649,3.16430518751829,3.1446497015097243,3.3495978097871504,3.1660275685980985
Bull market,1.863711517485564,2.3207141364189945,3.049030343518139,2.9368495584873924,2.8046403100265533,2.7996743662387455,2.863061743916472
Late cycle,3.2750162789463233,3.6235039006274343,4.76106249411598,4.492219384483415,4.279539171624164,4.312435365954301,4.493976346539
COVID+post,3.5158033534108015,3.8306532854990305,2.818601121059088,3.3651625222816803,3.3611342228120957,3.510236160391277,3.466228315315122
