window,test,DQN_Sharpe,DQN_AR,DQN_MDD,Static_0.5_Sharpe,Static_0.5_AR,Static_1.0_Sharpe,Static_1.0_AR,Static_1.25_Sharpe,Static_1.25_AR,Static_2.0_Sharpe,Static_2.0_AR
GFC+recovery,2008-01→2011-12,2.736799785764158,0.7641674529710664,0.06914415254938203,3.2677501180860635,0.5850776594523065,3.1485482690199684,0.6299889441015096,3.113786773371138,0.6879481796612086,2.8201144486052367,0.8855521775707093
Bull market,2012-01→2015-12,2.179640804007157,0.44548567111839577,0.06744035642799047,2.5716083466629747,0.3212739112670258,2.821300414439791,0.3950402620875312,3.0022159745822914,0.4295235741449146,2.8973562151507113,0.743169226567165
Late cycle,2016-01→2019-12,3.598260645442583,0.5825978122207918,0.05747265879518033,4.256200646025612,0.4206114530859306,4.15538883602213,0.5129925783333041,3.6669215978301275,0.513991561114332,3.747771440643101,0.7743249974226456
COVID+post,2020-01→2023-12,4.430234408798635,1.7852967510204452,0.06181243302122948,3.452909757663409,0.7578722488600653,3.591677884288706,0.9274916919010878,4.166582470464706,1.0908650101653636,4.382133637954289,1.926344351597539
