window,test,DQN_Sharpe,DQN_AR,DQN_MDD,Static_0.5_Sharpe,Static_0.5_AR,Static_1.0_Sharpe,Static_1.0_AR,Static_1.25_Sharpe,Static_1.25_AR,Static_2.0_Sharpe,Static_2.0_AR
GFC+recovery,2008-01→2011-12,2.6251637619188815,0.6255018363478321,0.08319624547390422,2.7848417529944354,0.5079201896206027,3.075392343557809,0.6072201974766331,2.71695028037228,0.620283087506246,2.5406480108310694,0.6648747154890406
Bull market,2012-01→2015-12,2.825193901318094,0.539282072792664,0.04500245738212504,3.0278773916741564,0.3373216382463185,3.2084636003706035,0.38446772005260194,3.2497156499822797,0.4515423060727527,2.6255251795869703,0.5736305327427432
Late cycle,2016-01→2019-12,2.830154332815569,0.48019609547310727,0.0578620359840443,3.931920453010123,0.40194125362199634,3.673101931011689,0.49353173625762464,3.4784393026941234,0.5095804578941505,2.617619642967882,0.6156277636306234
COVID+post,2020-01→2023-12,3.4019166189334715,1.2622570826915687,0.05530011548874299,3.385244213393341,0.6619648086898813,3.7050076258606897,0.8440605903016669,3.7057256778068832,0.9219540541913496,3.9615524675787297,1.6208539372796504
