,AR,Vol,MDD,Sharpe,Sortino,Calmar
kmeans_20,0.6605549308827182,0.1585221152129741,0.06744035642799039,3.199249779976841,5.675456745189975,9.794653614976479
kmeans_30,0.6393404434913743,0.1493475569082447,0.04449957431398507,3.3096891745305665,8.261295139057605,14.367338414975492
dbscan_0.1,0.6824833288435311,0.19413606784801213,0.08072247187245908,2.679928978124947,6.156068706253707,8.454688180533543
agglo_0.5,0.6596109230291195,0.1493641686999024,0.06475152356319475,3.391597834931268,9.226186739455695,10.186801587538973
ORCA,0.5944882167427099,0.15919455216569664,0.10664893517033182,2.930708439170332,5.76927307529938,5.574253655634134
