window,DQN_v3_Sharpe,DQN_v3_AR,DQN_v3_MDD,sit_out,Static_0.5_Sharpe,Static_1.0_Sharpe,Static_1.25_Sharpe,Static_2.0_Sharpe
GFC+recovery,1.805928086124162,0.450330129498899,0.13138091391423723,23,2.8275318823742945,2.8287077532906384,2.989984478777417,2.1974272707489866
Bull market,1.9752265539868294,0.301538393770508,0.03892745718826976,17,2.0514072665883063,2.7001380029606055,2.8639743428260984,2.4273517214280687
Late cycle,2.078637899078878,0.22135270034091925,0.02104011080572583,23,3.657805391338609,3.5519780971808976,3.911797372846689,2.9733523179049755
COVID+post,2.532259179302951,0.897391369143545,0.05937436861361998,16,3.649999481380707,3.322714905299274,3.5226215598842208,2.7400529624059518
