window,Static_1.0,Static_1.25,Static_2.0,Equal,Sigma,Triple,Momentum
GFC+recovery,3.1485482690199684,3.113786773371138,2.8201144486052367,3.0566131678172015,3.046337853457459,3.163337195176483,3.061184237220712
Bull market,2.821300414439791,3.0022159745822914,2.8973562151507113,3.1110279222778923,3.099310834239013,3.1429767366091808,3.0906235661214585
Late cycle,4.15538883602213,3.6669215978301275,3.747771440643101,4.094474033404875,4.0752260363874395,4.309176865000289,4.010248922888243
COVID+post,3.591677884288706,4.166582470464706,4.382133637954289,4.794161438807677,4.8217694309691765,4.582715104448,4.754972264125655
