window,Static_1.0,Static_1.25,Static_2.0,Equal,Sigma,Triple,Momentum
GFC+recovery,2.9866101793721804,3.0571407624380402,3.44058346203035,3.4921000768965142,3.3968601121781403,3.4231895692364596,3.5121842618867247
Bull market,2.921280112612567,2.9570880533004535,2.2247132395482154,2.5834011110224964,2.694690510712122,2.727651995117177,2.6684939991205234
Late cycle,3.598703661800733,4.05168798317238,3.3628541187711085,3.923795653030957,4.059536981075372,3.9516728688893203,4.037043144776297
COVID+post,4.110777122624961,4.169219348972368,4.196187711859132,4.54400079303078,4.555559965828827,4.570509765385635,4.522428121551483
