window,Static_1.0,Static_1.25,Static_2.0,Equal,Sigma,Triple,Momentum
GFC+recovery,2.8287077532906384,2.989984478777417,2.1974272707489866,2.7136070952115916,2.724978927517331,2.8264513894620387,2.8745182843871997
Bull market,2.7001380029606055,2.8639743428260984,2.4273517214280687,3.4373581564254265,3.6473920391524977,3.690967247552547,3.380315296894176
Late cycle,3.5519780971808976,3.911797372846689,2.9733523179049755,3.6133426287187773,3.5690505152584886,4.00391346391555,3.544064895602765
COVID+post,3.322714905299274,3.5226215598842208,2.7400529624059518,3.2396704846743574,3.2624386680961948,3.426862427445932,3.207457072092349
